center,left,right,steering,throttle,brake,speed
IMG/center_2017_11_26_20_33_46_721.jpg,IMG/left_2017_11_26_20_33_46_721.jpg,IMG/right_2017_11_26_20_33_46_721.jpg,0.02620136,0,0,18.11873
IMG/center_2017_11_26_20_33_46_812.jpg,IMG/left_2017_11_26_20_33_46_812.jpg,IMG/right_2017_11_26_20_33_46_812.jpg,0.02620136,0,0,17.50698
IMG/center_2017_11_26_20_33_46_905.jpg,IMG/left_2017_11_26_20_33_46_905.jpg,IMG/right_2017_11_26_20_33_46_905.jpg,0.02620136,0,0,17.33434
IMG/center_2017_11_26_20_33_47_001.jpg,IMG/left_2017_11_26_20_33_47_001.jpg,IMG/right_2017_11_26_20_33_47_001.jpg,0.02620136,0,0,17.67977
IMG/center_2017_11_26_20_33_47_094.jpg,IMG/left_2017_11_26_20_33_47_094.jpg,IMG/right_2017_11_26_20_33_47_094.jpg,0.02620136,0,0,16.97239
IMG/center_2017_11_26_20_33_47_188.jpg,IMG/left_2017_11_26_20_33_47_188.jpg,IMG/right_2017_11_26_20_33_47_188.jpg,0.02620136,0,0,16.83101
IMG/center_2017_11_26_20_33_47_284.jpg,IMG/left_2017_11_26_20_33_47_284.jpg,IMG/right_2017_11_26_20_33_47_284.jpg,0.02620136,0,0,17.19592
IMG/center_2017_11_26_20_33_47_352.jpg,IMG/left_2017_11_26_20_33_47_352.jpg,IMG/right_2017_11_26_20_33_47_352.jpg,0.02620136,0,0,17.06026
IMG/center_2017_11_26_20_33_47_419.jpg,IMG/left_2017_11_26_20_33_47_419.jpg,IMG/right_2017_11_26_20_33_47_419.jpg,0.02620136,0,0,16.41523
IMG/center_2017_11_26_20_33_47_509.jpg,IMG/left_2017_11_26_20_33_47_509.jpg,IMG/right_2017_11_26_20_33_47_509.jpg,0.02620136,0,0,16.859
IMG/center_2017_11_26_20_33_47_580.jpg,IMG/left_2017_11_26_20_33_47_580.jpg,IMG/right_2017_11_26_20_33_47_580.jpg,0.02620136,0,0,16.72661
IMG/center_2017_11_26_20_33_47_627.jpg,IMG/left_2017_11_26_20_33_47_627.jpg,IMG/right_2017_11_26_20_33_47_627.jpg,0.02620136,0,0,16.07982
IMG/center_2017_11_26_20_33_47_744.jpg,IMG/left_2017_11_26_20_33_47_744.jpg,IMG/right_2017_11_26_20_33_47_744.jpg,0.01676739,0,0,16.46691
